Category,Firm Name,HQ City,Founded Year,AUM/Fund Size,Stage Focus,Sector Focus,Key Partners/GPs,Notable Investments,Website,Why Relevant to Ainary Ventures
Emerging VC,Work-Bench (transitioning),New York City,2013,$160M (Fund IV),Seed,Enterprise Software & B2B,"Jessica Lin, Jonathan Lehr","Spring Health, Cockroach Labs, Socure, Catalyst, RippleMatch",https://www.work-bench.com,"NYC's enterprise seed leader; deep GTM support model valuable for AI enterprise startups in Ainary portfolio"
Emerging VC,Harlem Capital,New York City,2019,~$174M (total raised),Seed / Pre-Seed,"Diverse Founders, Consumer, Enterprise, Fintech","Henri Pierre-Jacques, Jarrid Tingle, Brandon Bryant","Pangea, AccessGrid, Palate, Poolit",https://harlem.capital,"Diversity-focused fund with NYC roots; mission-aligned for inclusive AI; strong community + emerging manager network"
Emerging VC,Notation Capital (transitioning),Brooklyn / New York,2015,~$55M (across funds),Pre-Seed / First Check,"Product-First, Software, Creative Tools","Nicholas Chirls, Alex Lines","Descript, The Lobby (now rebranded), multiple pre-seed hits",https://notation.vc,"NYC pre-seed pioneer; first-check DNA aligns with earliest-stage AI co-investment; Chirls now at Asylum ($55M)"
Emerging VC,Charge Ventures,New York City,2015,N/A (micro-fund),Pre-Seed / Seed,"Sector Agnostic, Tech","Wayne Ting, Jordan Fliegel, Scott Hartley","Multiple early-stage NYC startups",https://charge.vc,"Ultra-early-stage NYC fund; good syndication partner for pre-seed AI deals; community-oriented"
Emerging VC,Primary Venture Partners (transitioning),New York City,2015,~$1B (total AUM),Seed,"NYC-focused, Broad Tech, Commerce, Fintech","Brad Svrluga, Ben Sun","Coupang, Jet.com, Slice, Mirror, Latch, Vestwell",https://www.primary.vc,"Largest portfolio impact team of any NYC seed investor; strong exits (Coupang IPO); ideal co-investor for NYC AI seed"
Emerging VC,BBG Ventures (transitioning),New York City,2014,~$120M (across funds),Pre-Seed / Seed,"Women-Founded, Consumer, Health, Enterprise","Susan Lyne, Nisha Dua","Spring Health, goTenna, HopSkipDrive, Zola",https://www.bbgventures.com,"Gender-diverse team thesis produces outsized returns; complementary LP for emerging AI funds backing diverse founders"
Emerging VC,Contrary (transitioning),"San Francisco (multi-city)",2016,~$200M+,Seed / Early,"Talent-Driven, Tech, University Networks","Eric Tarczynski","Anduril, Ramp, Zepto, Hallow",https://contrary.com,"University talent network is a sourcing moat; early bets on breakout companies; cross-coastal presence"
Emerging VC,Conviction,"San Francisco (multi-city)",2022,~$300M (est. across 2 funds),Seed / Series A,AI-Native & Software 3.0,"Sarah Guo, Mike Vernal","Harvey, Cognition AI, HeyGen, Mistral AI, Sierra, Baseten",https://www.conviction.com,"Most thesis-aligned to Ainary: pure AI-native fund; Sarah Guo is top voice in AI VC; direct competitor and potential co-investor"
Emerging VC,ERA (Entrepreneurs Roundtable Accelerator) (transitioning),New York City,2011,N/A (accelerator + expansion fund),Pre-Seed / Accelerator,"Sector Agnostic, NYC Tech","Murat Aktihanoglu, Jonathan Axelrod, Charlie Kemper","375+ startups across 29 cohorts",https://www.eranyc.com,"NYC's leading accelerator; pipeline of early-stage deal flow; potential source for AI startups entering Ainary's funnel"
Emerging VC,Everywhere Ventures,New York City,2018,~$70M+,Pre-Seed,"Fintech, Health, Future of Work","Jenny Fielding, Scott Hartley","500+ founder-LPs; broad pre-seed portfolio",https://www.everywhere.vc,"Community-powered fund model (500+ founder-LPs); pre-seed focus in health/fintech/work aligns with AI applications"
Capital Allocator,Cendana Capital,"San Francisco, CA",2010,~$2B+,LP in Seed-Stage VC Funds,Emerging & Established Seed VC Managers,Michael Kim,"LP in Forerunner, Freestyle, Collaborative Fund, Notation, many seed funds",https://www.cendanacapital.com,"Premier seed FoF; backs emerging managers like Ainary; Michael Kim is the go-to LP for first-time seed funds"
Capital Allocator,Industry Ventures,"San Francisco, CA",2000,$8B+,"LP in VC Funds, Secondaries, Direct","VC Fund-of-Funds + Secondary Investments","Hans Swildens, Tom Litle","LP in hundreds of VC funds; secondary market pioneer",https://www.industryventures.com,"Major VC FoF with secondary expertise; supports emerging managers; potential anchor LP for Ainary's fund"
Capital Allocator,Vintage Investment Partners,"Herzliya, Israel",2003,$4B+,"LP in VC Funds, Growth, Secondaries","Leading & Emerging Venture Funds (US, Europe, Israel)","Alan Feld, Abe Finkelstein","LP in top-tier US and Israeli VC funds",https://vintage-ip.com,"Global FoF with emerging manager thesis; Israel-tech bridge could complement Ainary's AI deal flow"
Capital Allocator,StepStone Group (incl. Greenspring),"New York City, NY",1996,$170B+ AUM ($700B+ total capital),"LP in PE/VC Funds, Co-Invest, Secondaries","Private Equity, Venture Capital, Infrastructure, Real Estate","Scott Hart, Jason Ment, Jose Fernandez","Acquired Greenspring ($17B VC specialist); LP in 100s of VC/PE funds",https://www.stepstonegroup.com,"Institutional-grade allocator with massive VC arm (via Greenspring); potential LP for established emerging managers"
Capital Allocator,Horsley Bridge Partners,"San Francisco, CA",1983,~$22B,LP in VC & Growth Buyout Funds,Early-Stage Venture Capital & Growth Buyout,"Phil Horsley, Robert Walton, Andy Horsley","LP in top-tier VC firms (Benchmark, Sequoia-era, etc.)",https://www.horsleybridge.com,"One of the most respected PE FoFs; 40+ years backing seed/early VC; aspirational LP target for Ainary"
Capital Allocator,Weathergage Capital,"Stamford, CT",2002,N/A (boutique FoF),LP in Venture & Growth Equity Funds,Emerging & Established VC Managers,"Multiple managing directors","LP in VC and growth equity partnerships",https://www.weathergagecapital.com,"Boutique venture FoF; known for backing emerging managers; directly relevant as potential Ainary LP"
Capital Allocator,Thema VC,"London, UK",2023,N/A (early-stage FoF platform),LP in Emerging VC Funds (Europe focus),Emerging Venture Managers in Europe,"Multiple partners","Cornerstone LP in new European VC funds",https://www.thema.vc,"European emerging manager platform; provides operational support + capital; model for what Ainary could seek internationally"
Capital Allocator,Hamilton Lane,"Conshohocken, PA",1991,$138B AUM ($958B total),"LP in PE/VC Funds, Co-Invest, Secondaries","Private Equity, Venture Capital, Growth Equity, Real Assets","Mario Giannini (CEO), Erik Hirsch","LP in hundreds of PE/VC funds globally",https://www.hamiltonlane.com,"$1T+ total capital platform with growing VC allocation; institutional LP that validates emerging manager strategies"
Capital Allocator,HarbourVest Partners,"Boston, MA",1982,$146B+,"LP in PE/VC Funds, Secondaries, Direct","Primary Funds, Secondaries, Direct Co-Investments","D. Brooks Zug, John Toomey","LP in VC/PE funds globally; secondary market leader",https://www.harbourvest.com,"43-year track record; massive FoF with VC primary + secondary; potential LP for mature emerging managers"
Capital Allocator,NYC Pension Funds (NYCERS / TRS / BERS),New York City,1920s (various),~$295B (combined FY2025),Pension Fund with PE/VC Allocations,"Public Equities, Fixed Income, PE/VC, Real Estate","NYC Comptroller (fiduciary); multiple trustees","Allocations to PE/VC funds; emerging manager mandates (MWBE focus)",https://comptroller.nyc.gov/services/financial-matters/pension/overview/,"NYC's own pension system actively backs emerging and diverse managers; MWBE mandates directly support funds like Ainary"
